ST,INSTRUMENT_ID,QUESTION,ANSWER_ID,ANSWER_TEXT,ESTIMATE_PERCENTAGE,SE
IL,13,"Comparing now to what was normal before March 13, 2020, how has the number of hours paid employees worked from home changed?",5,Large decrease in number of hours worked from home,2.50%,0.79%
IL,14,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",1,Large increase in demand,6.10%,0.74%
IL,14,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",2,Moderate increase in demand,22.90%,1.17%
IL,14,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",3,Little or no change in demand,36.20%,1.06%
IL,14,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",4,Moderate decrease in demand,22.60%,1.15%
IL,14,"Comparing now to what was normal before March 13, 2020, how has demand for this business's goods or services changed?",5,Large decrease in demand,12.20%,0.78%
IL,15,"Comparing now to what was normal before March 13, 2020, how have the prices this business pays for goods and services changed?",1,Large increase in prices,27.30%,1.52%
IL,15,"Comparing now to what was normal before March 13, 2020, how have the prices this business pays for goods and services changed?",2,Moderate increase in prices,39.80%,2.08%
IL,15,"Comparing now to what was normal before March 13, 2020, how have the prices this business pays for goods and services changed?",3,Little or no change in prices,30.40%,1.92%
IL,15,"Comparing now to what was normal before March 13, 2020, how have the prices this business pays for goods and services changed?",4,Moderate decrease in prices,2.20%,0.49%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",1,Paycheck Protection Program (PPP),46.00%,1.13%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",2,Paycheck Protection Program (PPP) loan forgiveness,43.30%,2.40%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",3,Economic Injury Disaster Loans (EIDL),11.70%,1.76%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",7,Other Federal programs,2.40%,0.59%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",8,Other sources,4.10%,0.55%
IL,16,"Since December 27, 2020, has this business received financial assistance from any of the following sources?",9,"This business has not received financial assistance from any source since December 27, 2020.",42.10%,1.24%
IL,17,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",1,Yes,30.60%,1.15%
IL,17,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",2,No,36.40%,1.41%
IL,17,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",3,"Not applicable, this business does not usually have business travel expenditures.",33.00%,1.72%
IL,18,"In the next 6 months, do you think this business will have revenues from exports (revenues from selling products or services internationally)?",1,Yes,4.70%,0.69%
IL,18,"In the next 6 months, do you think this business will have revenues from exports (revenues from selling products or services internationally)?",2,No,37.50%,1.87%
IL,18,"In the next 6 months, do you think this business will have revenues from exports (revenues from selling products or services internationally)?",3,"Not applicable, this business does not usually have revenues from exports",57.80%,1.90%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",1,Obtain financial assistance or additional capital,19.00%,1.47%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",2,Identify new supply chain options,21.20%,1.42%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",3,Develop online sales or websites,10.60%,1.06%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",4,Increase marketing or sales,28.10%,1.12%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",5,Identify and hire new employees,39.50%,1.91%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",6,Make a capital expenditure,17.10%,1.42%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",7,Cancel or postpone a planned capital expenditure,8.40%,1.05%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",8,Identify potential markets for exporting products or services,1.90%,0.44%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",9,Permanently close this business,3.40%,0.55%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",10,None of the above,36.40%,1.40%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",2,2-3 months,2.10%,0.60%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",3,4-6 months,8.10%,1.10%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",4,More than 6 months,43.50%,2.36%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",5,I do not believe this business will return to its normal level of operations.,10.00%,1.54%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",7,There has been little or no effect on this business's normal level of operations.,17.90%,1.50%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",8,This business has returned to its normal level of operations.,17.60%,1.34%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",1,Large negative effect,31.00%,2.08%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",2,Moderate negative effect,47.80%,1.53%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",3,Little or no effect,14.80%,1.64%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",4,Moderate positive effect,5.10%,0.48%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",1,$0 - $500,7.00%,1.16%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",2,"$501 - $2,500",4.50%,0.79%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",3,"$2,501 - $5,000",4.60%,1.01%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",4,"$5,001 - $15,000",11.80%,1.87%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",5,"$15,001 - $50,000",18.40%,1.42%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",6,"$50,001 - $125,000",16.40%,1.33%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",7,"$125,001 - $200,000",10.40%,1.48%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",8,"$200,001 - $500,000",10.70%,0.88%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",9,"$500,001 or more",9.30%,0.70%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",10,Don't know,6.90%,0.79%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",1,"Yes, increased",6.10%,0.96%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",2,"Yes, decreased",43.40%,2.74%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",3,No change,50.50%,2.45%
IL,5,"In the last week, did this business do any of the following?",2,Temporarily close a location,3.00%,0.60%
IL,5,"In the last week, did this business do any of the following?",3,Permanently close a location,1.50%,0.42%
IL,5,"In the last week, did this business do any of the following?",4,None of the above,95.10%,0.55%
IL,6,"In the last week, did this business have a change in the number of paid employees?",1,"Yes, increased",2.50%,0.72%
IL,6,"In the last week, did this business have a change in the number of paid employees?",2,"Yes, decreased",13.20%,1.38%
IL,6,"In the last week, did this business have a change in the number of paid employees?",3,No change,84.30%,1.68%
IL,7,"In the last week, did this business re-hire any paid employees who had been furloughed or laid off after March 13, 2020?",1,Yes,1.70%,0.57%
IL,7,"In the last week, did this business re-hire any paid employees who had been furloughed or laid off after March 13, 2020?",2,No,42.00%,1.83%
IL,7,"In the last week, did this business re-hire any paid employees who had been furloughed or laid off after March 13, 2020?",3,"This business did not furlough or lay off any paid employees after March 13, 2020.",56.30%,2.03%
IL,8,"In the last week, did this business have a change in the total number of hours worked by paid employees?",1,"Yes, increased",4.30%,0.86%
IL,8,"In the last week, did this business have a change in the total number of hours worked by paid employees?",2,"Yes, decreased",22.20%,1.91%
IL,8,"In the last week, did this business have a change in the total number of hours worked by paid employees?",3,No change,73.40%,1.76%
IL,9,"In the last week, did this business have a change in the total number of hours paid employees worked from home?",1,"Yes, increased",3.90%,0.84%
IL,9,"In the last week, did this business have a change in the total number of hours paid employees worked from home?",2,"Yes, decreased",2.60%,0.75%
IL,9,"In the last week, did this business have a change in the total number of hours paid employees worked from home?",3,No change,39.40%,2.10%
IL,9,"In the last week, did this business have a change in the total number of hours paid employees worked from home?",4,This business does not have paid employees who work from home.,54.10%,1.85%
IL,10,"In the last week, did this business have any of the following?",1,Domestic supplier delays,24.40%,1.33%
IL,10,"In the last week, did this business have any of the following?",2,Foreign supplier delays,8.00%,0.86%
IL,10,"In the last week, did this business have any of the following?",3,Difficulty locating alternate domestic suppliers,8.50%,1.15%
IL,10,"In the last week, did this business have any of the following?",4,Difficulty locating alternate foreign suppliers,2.60%,0.32%
IL,10,"In the last week, did this business have any of the following?",5,Production delays at this business,6.80%,0.40%
IL,10,"In the last week, did this business have any of the following?",6,Delays in delivery / shipping to customers,18.30%,1.66%
IL,10,"In the last week, did this business have any of the following?",7,None of the above,66.70%,1.19%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",1,Ability to re-hire furloughed or laid off employees and/or hire new employees,6.10%,0.92%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",2,Availability of employees to work,10.10%,2.01%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",3,Ability of employees to work from home,2.70%,0.67%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",4,Physical distancing of employees,8.90%,1.05%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",5,Physical distancing of customers or clients and/or limits on the number of concurrent customers or clients,17.40%,1.30%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",6,Availability of Personal Protective Equipment (PPE) and/or related equipment or supplies,5.00%,0.69%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",7,Availability of other supplies or inputs used to provide good or services,8.80%,1.25%
IL,11,"In the last week, was this business's operating capacity affected by any of the following?",8,None of the above,67.60%,1.91%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,2,Operating capacity has increased less than 50%,7.10%,1.21%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,3,No change in operating capacity,40.80%,2.00%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,4,Operating capacity has decreased less than 50%,32.50%,1.82%
IL,12,How would you describe this business's current operating capacity relative to its operating capacity prior to the Coronavirus pandemic? Note: Operating capacity is the maximum amount of activity this business could conduct under realistic operating conditions.,5,Operating capacity has decreased 50% or more,18.60%,2.39%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",1,1-7 days of business operations,6.00%,0.85%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",2,1-2 weeks of business operations,12.00%,1.59%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",3,3-4 weeks of business operations,14.80%,1.30%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",4,1-2 months of business operations,26.30%,1.43%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",5,3 or more months of business operations,21.10%,1.94%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",6,No cash available for business operations,4.80%,1.27%
IL,13,"How would you describe the current availability of cash on hand for this business, including any financial assistance or loans?",7,Don't know,15.00%,0.78%
IL,14,"Since March 13, 2020, has this business missed any loan payments? Loan payments that have been forgiven or postponed should not be considered to be missed.",1,Yes,3.00%,0.85%
IL,14,"Since March 13, 2020, has this business missed any loan payments? Loan payments that have been forgiven or postponed should not be considered to be missed.",2,No,97.00%,0.85%
IL,15,"Since March 13, 2020, has this business missed any other scheduled payments, not including loans? Examples of other scheduled payments include rent, utilities, and payroll. Scheduled payments that have been forgiven or postponed should not be considered to be missed. Select only one:",1,Yes,10.20%,1.16%
IL,15,"Since March 13, 2020, has this business missed any other scheduled payments, not including loans? Examples of other scheduled payments include rent, utilities, and payroll. Scheduled payments that have been forgiven or postponed should not be considered to be missed. Select only one:",2,No,89.80%,1.16%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",1,Paycheck Protection Program (PPP),76.20%,2.06%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",2,Economic Injury Disaster Loans (EIDL),25.20%,1.98%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",3,Small business administration (SBA) loan forgiveness,15.50%,1.85%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",5,Deferral of Federal Employment Tax Deposits and Payments,1.50%,0.42%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",6,Federal sick and family leave tax credits,5.90%,1.20%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",8,Other Federal programs,2.90%,0.54%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",9,State or local government programs,7.70%,0.90%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",10,Banks,7.80%,1.04%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",11,Self,12.40%,1.00%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",12,Family or friends,4.90%,0.99%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",13,Other sources,4.10%,0.74%
IL,16,"Since March 13, 2020, has this business requested financial assistance from any of the following sources?",14,"This business has not requested financial assistance from any source since March 13, 2020",18.20%,1.26%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",1,Paycheck Protection Program (PPP),74.80%,1.95%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",2,Economic Injury Disaster Loans (EIDL),22.30%,1.88%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",3,SBA loan forgiveness,11.60%,1.29%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",5,Deferral of Federal Employment Tax Deposits and Payments,1.10%,0.38%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",6,Federal sick and family leave tax credits,4.70%,0.70%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",8,Other Federal programs,2.90%,0.49%
IL,17,"Since March 13, 2020, has this business received financial assistance from any of these programs from the Federal government?",9,"This business has not requested financial assistance from any source since March 13, 2020",21.80%,1.78%
IL,18,"Since March 13, 2020, has there been an increase in this business's use of online platforms to offer goods or services?",1,Yes,22.80%,2.36%
IL,18,"Since March 13, 2020, has there been an increase in this business's use of online platforms to offer goods or services?",2,No,30.90%,2.80%
IL,18,"Since March 13, 2020, has there been an increase in this business's use of online platforms to offer goods or services?",3,This business does not use online platforms to offer goods or services.,46.30%,2.12%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",1,Obtain financial assistance or additional capital,31.80%,1.35%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",2,Identify new supply chain options,11.70%,1.00%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",3,Develop online sales or websites,14.00%,1.20%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",4,Increase marketing or sales,36.80%,1.46%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",5,Learn how to better provide for the safety of customers and employees,11.70%,0.85%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",6,Identify and hire new employees,21.30%,1.74%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",7,Permanently close this business,3.60%,0.83%
IL,19,"In the next 6 months, do you think this business will need to do any of the following?",8,None of the above,33.50%,2.08%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations relative to one year ago?",2,2-3 months,2.80%,0.78%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations relative to one year ago?",3,4-6 months,17.00%,1.68%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations relative to one year ago?",4,More than 6 months,47.60%,2.52%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations relative to one year ago?",5,I do not believe this business will return to its normal level of operations.,9.30%,1.86%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations relative to one year ago?",6,This business has permanently closed.,1.30%,0.50%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations relative to one year ago?",7,There has been little or no effect on this business's normal level of operations.,15.70%,1.91%
IL,20,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations relative to one year ago?",8,This business has returned to its normal level of operations.,5.80%,1.34%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",1,Large negative effect,27.40%,2.62%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",2,Moderate negative effect,40.70%,1.98%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",3,Little or no effect,24.40%,2.19%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",4,Moderate positive effect,5.70%,0.78%
IL,2,"Overall, how has this business been affected by the Coronavirus pandemic?",5,Large positive effect,1.80%,0.36%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",1,$0 - $500,6.40%,1.34%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",2,"$501 - $2,500",1.90%,0.64%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",3,"$2,501 - $5,000",3.80%,1.04%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",4,"$5,001 - $15,000",7.80%,1.57%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",5,"$15,001 - $50,000",19.70%,1.03%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",6,"$50,001 - $125,000",22.60%,1.37%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",7,"$125,001 - $200,000",8.20%,1.54%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",8,"$200,001 - $500,000",12.30%,1.38%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",9,"$500,001 or more",10.70%,0.88%
IL,3,"In the last month, what were the total operating revenues/sales/receipts for this business, not including any financial assistance or loans?",10,Don't know,6.60%,1.21%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",1,"Yes, increased",8.30%,1.13%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",2,"Yes, decreased",27.20%,1.84%
IL,4,"In the last week, did this business have a change in operating revenues/sales/receipts, not including any financial assistance or loans?",3,No change,64.50%,1.50%
IL,5,"In the last week, did this business do any of the following?",4,None of the above,97.40%,0.86%
IL,6,"In the last week, did this business have a change in the number of paid employees?",1,"Yes, increased",6.70%,0.93%
IL,6,"In the last week, did this business have a change in the number of paid employees?",2,"Yes, decreased",11.20%,1.75%
IL,6,"In the last week, did this business have a change in the number of paid employees?",3,No change,82.20%,2.00%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",1,"Yes, increased",6.80%,0.85%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",2,"Yes, decreased",18.90%,1.69%
IL,7,"In the last week, did this business have a change in the total number of hours worked by paid employees?",3,No change,74.30%,2.06%
IL,8,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",1,Yes,15.00%,1.15%
IL,8,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",2,No,71.40%,1.77%
IL,8,"In the last week, did this business require employees to have proof of COVID-19 vaccination before physically coming to work?",3,"Not applicable, this business did not have employees physically coming to work in the last week.",13.60%,1.64%
IL,9,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",1,Yes,9.80%,1.35%
IL,9,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",2,No,75.90%,2.16%
IL,9,"In the last week, did this business require employees to test negative for COVID-19 before physically coming to work?",3,"Not applicable, this business did not have employees physically coming to work in the last week.",14.30%,1.52%
IL,10,"In the last week, did this business have difficulties hiring paid employees?",1,Yes,30.80%,1.31%
IL,10,"In the last week, did this business have difficulties hiring paid employees?",2,No,32.20%,1.72%
IL,10,"In the last week, did this business have difficulties hiring paid employees?",3,Not applicable,37.00%,2.43%
IL,11,"In the last week, did this business have any of the following?",1,Domestic supplier delays,44.30%,2.26%
IL,11,"In the last week, did this business have any of the following?",2,Foreign supplier delays,19.00%,1.94%
IL,11,"In the last week, did this business have any of the following?",3,Difficulty locating alternate domestic suppliers,21.70%,1.94%
IL,11,"In the last week, did this business have any of the following?",4,Difficulty locating alternate foreign suppliers,9.30%,1.63%
IL,11,"In the last week, did this business have any of the following?",5,Production delays at this business,15.00%,1.70%
IL,11,"In the last week, did this business have any of the following?",6,Delays in delivery / shipping to customers,25.00%,1.88%
IL,11,"In the last week, did this business have any of the following?",7,None of the above,49.80%,2.32%
IL,12,"In the last week, was this business affected by any of the following?",1,Availability of current employees to work,18.70%,1.13%
IL,12,"In the last week, was this business affected by any of the following?",3,Availability of supplies or inputs used to provide goods or services,33.90%,1.99%
IL,12,"In the last week, was this business affected by any of the following?",4,None of the above,58.50%,2.54%
IL,13,How would you describe the current availability of cash on hand for this business?,1,1-7 days of business operations,6.40%,1.50%
IL,13,How would you describe the current availability of cash on hand for this business?,2,1-2 weeks of business operations,8.50%,1.17%
IL,13,How would you describe the current availability of cash on hand for this business?,3,3-4 weeks of business operations,15.00%,1.87%
IL,13,How would you describe the current availability of cash on hand for this business?,4,1-2 months of business operations,21.70%,2.11%
IL,13,How would you describe the current availability of cash on hand for this business?,5,3 or more months of business operations,29.70%,2.20%
IL,13,How would you describe the current availability of cash on hand for this business?,6,No cash available for business operations,3.90%,0.80%
IL,13,How would you describe the current availability of cash on hand for this business?,7,Don't know,14.80%,1.61%
IL,14,What changes did this business make to its planned capital expenditures for 2021?,1,Canceled planned capital expenditures,11.40%,1.81%
IL,14,What changes did this business make to its planned capital expenditures for 2021?,2,Postponed planned capital expenditures,15.60%,1.59%
IL,14,What changes did this business make to its planned capital expenditures for 2021?,3,Decreased planned capital expenditures,11.30%,1.33%
IL,14,What changes did this business make to its planned capital expenditures for 2021?,4,Increased planned capital expenditures,4.60%,0.71%
IL,14,What changes did this business make to its planned capital expenditures for 2021?,5,Introduced new unplanned capital expenditures,3.90%,0.73%
IL,14,What changes did this business make to its planned capital expenditures for 2021?,6,This business had no changes to planned capital expenditures for 2021.,27.50%,1.83%
IL,14,What changes did this business make to its planned capital expenditures for 2021?,7,This business had no planned capital expenditures for 2021.,35.10%,2.41%
IL,15,"Comparing now to six months ago, how has the number of hours paid employees worked from home changed?",2,Moderate increase in number of hours worked from home,5.20%,0.70%
IL,15,"Comparing now to six months ago, how has the number of hours paid employees worked from home changed?",3,Little or no change in number of hours worked from home,82.80%,1.64%
IL,15,"Comparing now to six months ago, how has the number of hours paid employees worked from home changed?",4,Moderate decrease in number of hours worked from home,6.60%,1.37%
IL,15,"Comparing now to six months ago, how has the number of hours paid employees worked from home changed?",5,Large decrease in number of hours worked from home,4.50%,0.96%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",1,Large increase in demand,4.70%,0.83%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",2,Moderate increase in demand,26.70%,1.61%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",3,Little or no change in demand,48.00%,1.88%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",4,Moderate decrease in demand,15.50%,1.76%
IL,16,"Comparing now to six months ago, how has demand for this business's goods or services changed?",5,Large decrease in demand,5.00%,1.10%
IL,17,"Comparing now to six months ago, how have the prices this business pays for goods and services changed?",1,Large increase in prices,37.10%,2.56%
IL,17,"Comparing now to six months ago, how have the prices this business pays for goods and services changed?",2,Moderate increase in prices,40.10%,2.36%
IL,17,"Comparing now to six months ago, how have the prices this business pays for goods and services changed?",3,Little or no change in prices,21.40%,1.60%
IL,18,"In the next six months, do you think this business will do any of the following?",1,Adopt or expand use of digital technologies,15.80%,1.42%
IL,18,"In the next six months, do you think this business will do any of the following?",2,Change management practices,9.70%,1.59%
IL,18,"In the next six months, do you think this business will do any of the following?",3,Change business strategies,19.80%,1.43%
IL,18,"In the next six months, do you think this business will do any of the following?",4,Introduce new goods or services,13.30%,1.33%
IL,18,"In the next six months, do you think this business will do any of the following?",5,Improve existing goods or services,19.60%,0.97%
IL,18,"In the next six months, do you think this business will do any of the following?",6,Improve methods of producing goods or services,11.30%,1.06%
IL,18,"In the next six months, do you think this business will do any of the following?",7,"Improve methods of logistics, delivery, or distribution",11.40%,1.13%
IL,18,"In the next six months, do you think this business will do any of the following?",8,None of the above,56.80%,2.56%
IL,19,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",1,Yes,32.10%,1.33%
IL,19,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",2,No,30.60%,2.56%
IL,19,"In the next 6 months, do you think this business will have business travel expenditures for air, rail, car rental, or lodging?",3,"Not applicable, this business does not usually have business travel expenditures.",37.40%,2.20%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",1,Obtain financial assistance or additional capital,13.40%,1.47%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",2,Identify new supply chain options,25.80%,1.77%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",3,Develop online sales or websites,10.40%,1.34%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",4,Increase marketing or sales,27.30%,1.65%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",5,Identify and hire new employees,40.30%,2.31%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",6,Make a capital expenditure,13.70%,1.70%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",7,Cancel or postpone a planned capital expenditure,10.40%,1.11%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",8,Identify potential markets for exporting products or services,3.90%,0.57%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",9,Permanently close this business,2.70%,0.67%
IL,20,"In the next 6 months, do you think this business will need to do any of the following?",10,None of the above,33.90%,2.83%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",2,2-3 months,5.70%,0.63%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",3,4-6 months,7.50%,1.02%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",4,More than 6 months,34.00%,2.52%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",5,I do not believe this business will return to its normal level of operations.,13.40%,1.20%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",7,There has been little or no effect on this business's normal level of operations.,19.40%,2.71%
IL,21,"In your opinion, how much time do you think will pass before this business returns to its normal level of operations?",8,This business has returned to its normal level of operations.,18.00%,1.14%
IL,1,"Overall, how has this business been affected by the COVID-19 pandemic?",1,Large negative effect,41.30%,1.36%
IL,1,"Overall, how has this business been affected by the COVID-19 pandemic?",2,Moderate negative effect,43.80%,1.41%
IL,1,"Overall, how has this business been affected by the COVID-19 pandemic?",3,Little or no effect,10.90%,1.45%
IL,1,"Overall, how has this business been affected by the COVID-19 pandemic?",4,Moderate positive effect,2.70%,0.66%
IL,1,"Overall, how has this business been affected by the COVID-19 pandemic?",5,Large positive effect,1.30%,0.40%
